,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1387,Atk33,1.69E-06,55.486,25.112,67.214,0.564234478,1.438305414,1.943301165,11.728,42.102,12.274,-0.874070935
1388,Atk330,9.97E-07,55.665,40.601,Inf,-0.65183856,0.460121913,NA,Inf,Inf,7.958,-1.111960473
1389,Atk331,1.21E-06,59.258,39.639,92.63,-0.695451267,0.393875711,NA,33.372,52.991,10.062,-1.089326978
1390,Atk332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391,Atk333,2.47E-06,53.774,19.659,89.888,0.570678548,0.34726286,1.975080967,36.114,70.229,15.858,0.223415688
1392,Atk334,2.05E-06,52.633,24.122,72.827,0.671972432,0.681878201,2.242859549,20.194,48.705,13.174,-0.009905769
1393,Atk335,2.18E-06,55.931,24.368,91.17,0.589438456,0.280087248,2.011309101,35.239,66.802,17.599,0.309351208
1394,Atk336,2.44E-06,56.141,22.963,86.871,0.481772262,0.359739554,1.762920686,30.73,63.908,17.805,0.122032708
1395,Atk337,1.58E-06,54.938,28.518,68.946,0.557482943,1.101868824,1.907519705,14.008,40.428,12.008,-0.544385881
1396,Atk338,1.73E-06,55.762,27.528,70.283,0.707316121,1.21237542,2.312913074,14.521,42.755,12.537,-0.505059299
1397,Atk339,1.69E-06,56.329,26.275,68.029,NA,1.562576008,NA,11.7,41.754,11.333,NA
1398,Atk34,2.44E-06,49.367,9.406,68.569,0.303032326,0.672161524,1.450546633,19.202,59.163,18.04,-0.369129198
1399,Atk340,1.95E-06,57.22,24.881,71.322,0.584302063,0.951699251,1.988713732,14.102,46.441,12.479,-0.367397187
1400,Atk341,1.80E-06,55.786,29.425,65.653,0.860262538,1.010268535,2.745546562,9.867,36.228,8.49,-0.150005997
1401,Atk342,1.55E-06,55.501,34.434,69.878,1.085361488,0.960012472,NA,14.377,35.444,8.671,0.125349016
1402,Atk343,1.79E-06,59.711,31.014,107.254,0.771881765,0.280817757,2.436734287,47.543,76.24,17.216,0.491064009
1403,Atk344,2.08E-06,65.889,39.387,70.099,0.94884514,NA,2.893667178,4.21,30.712,6.098,NA
1404,Atk345,1.67E-06,56.825,31.475,73.583,0.933968586,0.928257308,2.985083875,16.758,42.108,10.214,0.005711278
1405,Atk346,1.67E-06,54.707,27.583,69.59,NA,0.76567958,NA,14.883,42.007,11.299,NA
1406,Atk347,1.57E-06,55.587,28.392,64.841,0.789100662,1.39242373,2.535657281,9.254,36.449,9.857,-0.603323068
1407,Atk348,1.20E-06,52.179,30.62,67.316,1.083011604,1.296087049,NA,15.137,36.696,8.566,-0.213075445
1408,Atk349,1.54E-06,54.961,29.929,73.856,NA,0.812493061,NA,18.895,43.927,10.273,NA
1409,Atk35,2.37E-06,52.145,11.161,64.854,0.29948984,0.891822998,1.437234948,12.709,53.693,17.967,-0.592333158
1410,Atk350,9.75E-08,43.407,32.851,46.15,-1.215232935,-0.841059541,NA,2.743,13.299,3.488,-0.374173395
1411,Atk351,1.06E-06,61,38.9,Inf,-0.804359187,NA,NA,Inf,Inf,5.735,NA
1412,Atk352,8.75E-07,59.492,44.069,65.257,-0.487490995,NA,NA,5.765,21.188,3.781,NA
1413,Atk353,1.23E-06,60.491,42.351,76.485,-0.779135769,0.752083129,NA,15.994,34.134,6.995,-1.531218898
1414,Atk354,1.40E-06,60.565,44.42,64.562,-0.932044388,3.865207595,NA,3.997,20.142,5.217,-4.797251984
1415,Atk355,1.34E-06,59.312,39.62,64.418,1.234917925,3.201691185,NA,5.106,24.798,5.081,-1.96677326
1416,Atk356,2.88E-06,54.873,15.045,58.434,0.354643635,2.087928267,1.529468283,3.561,43.389,11.665,-1.733284632
1417,Atk357,2.14E-06,55.157,24.726,Inf,0.515785554,0.312175702,1.834913698,Inf,Inf,16.235,0.203609852
1418,Atk358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1419,Atk359,2.22E-06,68,20.443,Inf,0.282561209,NA,1.374879973,Inf,Inf,20.328,NA
1420,Atk36,2.21E-06,47.637,7.792,64.215,0.28795741,1.087819262,1.425129009,16.578,56.423,23.218,-0.799861852
1421,Atk360,2.11E-06,53.712,28.938,99.269,0.812566479,0.304991946,2.616737973,45.557,70.331,13.592,0.507574533
1422,Atk361,2.14E-06,56.146,32.213,61.066,0.817289462,2.934093008,2.59473949,4.92,28.853,12.841,-2.116803547
1423,Atk362,2.15E-06,57.339,25.553,103.859,0.536340965,0.25636287,1.869779654,46.52,78.306,19.777,0.279978095
1424,Atk363,2.17E-06,57.556,32.356,63.606,NA,3.072955886,2.74368177,6.05,31.25,7.333,NA
1425,Atk364,2.10E-06,59.999,30.807,74.241,0.698578012,1.194208785,2.231035837,14.242,43.434,10.932,-0.495630772
1426,Atk365,2.09E-06,58,27.197,Inf,0.630456138,NA,2.071417758,Inf,Inf,7.936,NA
1427,Atk366,2.27E-06,59.148,26.066,75.538,0.502702595,0.721607882,1.781701886,16.39,49.472,12.172,-0.218905286
1428,Atk367,2.04E-06,60,32.469,Inf,0.78247605,NA,2.458279104,Inf,Inf,7.22,NA
1429,Atk368,1.25E-06,58.2,33.609,74.664,0.969860573,0.556402782,NA,16.464,41.055,9.357,0.41345779
1430,Atk369,1.70E-06,60,30.655,Inf,NA,NA,NA,Inf,Inf,7.002,NA
1431,Atk37,2.57E-06,54.637,10.921,62.506,0.294109887,1.836042442,1.422915634,7.869,51.585,15.463,-1.541932556
1432,Atk370,1.31E-06,60.726,33.749,88.435,0.880890786,0.371718596,2.734900986,27.709,54.686,10.034,0.50917219
1433,Atk371,2.00E-06,57.703,34.334,66.492,NA,2.14483012,NA,8.789,32.158,8.48,NA
1434,Atk372,1.63E-06,60.813,33.991,76.071,NA,0.815210406,2.506165617,15.258,42.08,11.134,NA
1435,Atk373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1436,Atk374,1.67E-06,59.665,35.472,76.01,0.946957572,0.688447217,2.961506522,16.345,40.538,10.33,0.258510355
1437,Atk375,2.14E-06,53.858,20.914,Inf,0.518614193,0.292754642,1.857446467,Inf,Inf,15.17,0.225859551
1438,Atk376,1.58E-06,54.654,26.484,Inf,NA,0.17713047,NA,Inf,Inf,13.339,NA
1439,Atk377,2.83E-06,59.113,11.157,Inf,0.258619737,0.146701572,1.354768205,Inf,Inf,23.692,0.111918165
1440,Atk378,1.64E-06,57.296,26.743,70.574,0.555194397,0.734546022,1.909225936,13.278,43.831,13.472,-0.179351626
1441,Atk379,1.42E-06,54,24.406,Inf,0.547328348,NA,1.911393138,Inf,Inf,12.502,NA
1442,Atk38,2.09E-06,54.052,19.356,86.477,0.42799052,0.326227083,1.665753593,32.425,67.121,20.091,0.101763438
1443,Atk380,1.56E-06,52.2,22.038,Inf,0.509762528,0.132773151,1.838877369,Inf,Inf,16.595,0.376989377
1444,Atk381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,Atk382,2.08E-06,58,19.203,Inf,0.371163724,NA,1.546179589,Inf,Inf,14.676,NA
1446,Atk383,2.29E-06,56.702,17.261,69.535,0.346239499,0.873020896,1.505731191,12.833,52.274,16.349,-0.526781397
1447,Atk384,2.24E-06,60,26.167,Inf,0.554545647,NA,1.894625405,Inf,Inf,7.444,NA
1448,Atk385,2.32E-06,61,13.123,Inf,0.180943439,NA,1.23536495,Inf,Inf,25.906,NA
1449,Atk386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1450,Atk387,1.82E-06,58.84,31.819,77.848,0.817288406,0.358631448,2.565712038,19.008,46.029,10.33,0.458656958
1451,Atk388,2.21E-06,54,23.858,Inf,0.594251374,NA,2.022539572,Inf,Inf,7.709,NA
