,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
137,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
