ID,sharpschoolhigh_1981,sharpschoollow_1981,sharpschoolfull_1981,best_model
Atk240,NULL,-777.8403758,NULL,sharpschoollow_1981
Atk241,-1467.444174,-1467.444174,-1464.465169,sharpschoolfull_1981
Atk242,-1312.068857,-1312.068857,-1308.600416,sharpschoolfull_1981
Atk243,-1412.991239,-1412.998829,-1414.499693,sharpschoolhigh_1981
Atk244,-1439.735444,-1439.629531,-1456.585124,sharpschoollow_1981
Atk245,-1554.637325,-1554.637325,-1579.430846,sharpschoolhigh_1981
Atk246,-1683.167306,-1628.100291,-1800.469141,sharpschoollow_1981
Atk247,-1458.519239,-1458.519239,-1467.787156,sharpschoolhigh_1981
Atk248,-1409.760573,-1409.760573,-1416.037518,sharpschoolhigh_1981
Atk249,-1423.871602,-1423.871602,-1428.116734,sharpschoolhigh_1981
Atk25,-978.2337692,-978.2337692,-983.4021844,sharpschoolhigh_1981
Atk250,-1422.359762,-1422.359762,-1425.321277,sharpschoolhigh_1981
Atk251,-1403.158594,-1403.158594,-1401.543722,sharpschoolfull_1981
Atk252,-1561.394177,-1561.394177,-1575.789717,sharpschoolhigh_1981
Atk253,-1434.65442,-1434.65442,-1432.359172,sharpschoolfull_1981
Atk254,-1477.378546,-1477.378546,-1478.188809,sharpschoolhigh_1981
Atk255,-1358.397477,-1358.397477,-1358.059402,sharpschoolfull_1981
Atk256,-1350.580065,-1289.263149,-1374.792744,sharpschoollow_1981
Atk257,-1534.801692,-1534.801692,-1541.183212,sharpschoolhigh_1981
Atk258,-1396.513574,-1396.513574,-1398.077024,sharpschoolhigh_1981
Atk259,-1506.951399,-1506.951399,-1532.228431,sharpschoolhigh_1981
Atk26,-1495.599394,-1375.358045,-1652.625414,sharpschoollow_1981
Atk260,-1325.247106,-1325.247475,-1328.645844,sharpschoolhigh_1981
Atk261,-1362.639021,-1362.640052,-1360.325275,sharpschoolfull_1981
Atk262,-1375.789127,-1375.789127,-1372.574588,sharpschoolfull_1981
Atk263,-1485.238477,-1485.238477,-1484.397937,sharpschoolfull_1981
Atk264,-1273.502,-1273.502,-1273.971844,sharpschoolhigh_1981
Atk265,-1578.130158,-1499.294466,-1625.407106,sharpschoollow_1981
Atk266,-1352.145207,-1352.145207,-1372.479586,sharpschoolhigh_1981
Atk267,-1464.065917,-1464.065917,-1490.128876,sharpschoolhigh_1981
Atk268,-1340.934974,-1340.934974,-1349.986857,sharpschoolhigh_1981
Atk269,-1519.074573,-1507.958181,-1548.754158,sharpschoollow_1981
Atk27,NULL,-1430.423771,NULL,sharpschoollow_1981
Atk270,-1481.444155,-1481.444155,-1483.243922,sharpschoolhigh_1981
Atk271,-1408.60252,-1408.60252,-1416.209096,sharpschoolhigh_1981
Atk272,NULL,-1216.859198,NULL,sharpschoollow_1981
Atk273,-1383.563628,-1383.563628,-1381.020998,sharpschoolfull_1981
Atk274,-1321.567588,-1321.595585,-1317.829959,sharpschoolfull_1981
Atk275,-1410.025563,NULL,NULL,sharpschoolhigh_1981
Atk276,-1518.100852,-1507.202186,-1618.893765,sharpschoollow_1981
Atk277,-1483.949268,-1483.949268,-1504.205741,sharpschoolhigh_1981
Atk278,-1297.782079,-1297.782079,-1316.991402,sharpschoolhigh_1981
Atk279,-1443.683764,-1443.683764,-1454.105278,sharpschoolhigh_1981
Atk28,-1741.780928,-1589.621957,-1854.544913,sharpschoollow_1981
Atk280,-1326.706547,-1326.706547,-1347.811326,sharpschoolhigh_1981
