ID,OriginalID,topt,e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,habitat,Citation,Metabolic_rate,Habitat,PT
1831,MR040,54.8861,0.543189276,NA,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,respiration rate,terrestrial,"O'Sullivan, O. S., Weerasinghe, K. W. L. K., Evans, J. R., Egerton, J. J. G., Tjoelker, M. G., & Atkin, O. K. (2013). High-resolution temperature responses of leaf respiration in snow gum (Eucalyptus pauciflora) reveal high-temperature limits to respiratory function. Plant, Cell and Environment, 36, 1268_1284. http://doi.org/10.1111/pce.12057",R,Terrestrial,C3
1832,MR041,56.8014,0.56853745,NA,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,respiration rate,terrestrial,"O'Sullivan, O. S., Weerasinghe, K. W. L. K., Evans, J. R., Egerton, J. J. G., Tjoelker, M. G., & Atkin, O. K. (2013). High-resolution temperature responses of leaf respiration in snow gum (Eucalyptus pauciflora) reveal high-temperature limits to respiratory function. Plant, Cell and Environment, 36, 1268_1284. http://doi.org/10.1111/pce.12057",R,Terrestrial,C3
1833,MR042,54.59901,0.503140457,NA,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,respiration rate,terrestrial,"O'Sullivan, O. S., Weerasinghe, K. W. L. K., Evans, J. R., Egerton, J. J. G., Tjoelker, M. G., & Atkin, O. K. (2013). High-resolution temperature responses of leaf respiration in snow gum (Eucalyptus pauciflora) reveal high-temperature limits to respiratory function. Plant, Cell and Environment, 36, 1268_1284. http://doi.org/10.1111/pce.12057",R,Terrestrial,C3
1834,MR043,57.14764,0.499269591,NA,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus pauciflora,respiration rate,terrestrial,"O'Sullivan, O. S., Weerasinghe, K. W. L. K., Evans, J. R., Egerton, J. J. G., Tjoelker, M. G., & Atkin, O. K. (2013). High-resolution temperature responses of leaf respiration in snow gum (Eucalyptus pauciflora) reveal high-temperature limits to respiratory function. Plant, Cell and Environment, 36, 1268_1284. http://doi.org/10.1111/pce.12057",R,Terrestrial,C3
1860,MR090,31.125,0.288453981,NA,Plantae,Spermatophyta,Magnoliopsida,Sapindales,Meliaceae,Entandrophragma,Entandrophragma excelsum,net photosynthesis,terrestrial,"VÃŽrhammar, A., Wallin, G., Mclean, C. M., Dusenge, M. E., Medlyn, B. E., Hasper, T. B., & Uddling, J. (2015). Photosynthetic temperature responses of tree species in Rwanda_: evidence of pronounced negative effects of high temperature in montane rainforest climax species. New Phytologist, 206, 1000_1012. http://doi.org/10.1111/nph.13291 Key",NP,Terrestrial,C3
1866,MR096,32.401,0.31423289,NA,Plantae,Spermatophyta,Magnoliopsida,Sapindales,Meliaceae,Entandrophragma,Entandrophragma excelsum,net photosynthesis,terrestrial,"VÃŽrhammar, A., Wallin, G., Mclean, C. M., Dusenge, M. E., Medlyn, B. E., Hasper, T. B., & Uddling, J. (2015). Photosynthetic temperature responses of tree species in Rwanda_: evidence of pronounced negative effects of high temperature in montane rainforest climax species. New Phytologist, 206, 1000_1012. http://doi.org/10.1111/nph.13291 Key",NP,Terrestrial,C3
1887,MR142,49.4697,0.394071551,NA,Plantae,Spermatophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula nana,respiration rate,terrestrial,"Heskel, M. A., Greaves, H. E., Turnbull, M. H., O'Sullivan, O. S., Shaver, G. R., Griffin, K. L., & Atkin, O. K. (2014). Thermal acclimation of shoot respiration in an Arctic woody plant species subjected to 22Ã¦years of warming and altered nutrient supply. Global Change Biology, 20(8), 2618_2630. http://doi.org/10.1111/gcb.12544",R,Terrestrial,C3
1888,MR147,31.0685,0.134469864,NA,Plantae,Spermatophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,net photosynthesis,terrestrial,"Kubien, D. S., & Sage, R. F. (2008). The temperature response of photosynthesis in tobacco with reduced amounts of Rubisco. Plant, Cell and Environment, 31(4), 407â€?18. http://doi.org/10.1111/j.1365-3040.2008.01778.x",NP,Terrestrial,C3
1889,MR148,31.6245,0.164710611,NA,Plantae,Spermatophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,net photosynthesis,terrestrial,"Kubien, D. S., & Sage, R. F. (2008). The temperature response of photosynthesis in tobacco with reduced amounts of Rubisco. Plant, Cell and Environment, 31(4), 407â€?18. http://doi.org/10.1111/j.1365-3040.2008.01778.x",NP,Terrestrial,C3
1890,MR149,30.1545,0.353236815,NA,Plantae,Spermatophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,net photosynthesis,terrestrial,"Kubien, D. S., & Sage, R. F. (2008). The temperature response of photosynthesis in tobacco with reduced amounts of Rubisco. Plant, Cell and Environment, 31(4), 407â€?18. http://doi.org/10.1111/j.1365-3040.2008.01778.x",NP,Terrestrial,C3
1891,MR150,34.3637,0.139302375,NA,Plantae,Spermatophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,net photosynthesis,terrestrial,"Kubien, D. S., & Sage, R. F. (2008). The temperature response of photosynthesis in tobacco with reduced amounts of Rubisco. Plant, Cell and Environment, 31(4), 407â€?18. http://doi.org/10.1111/j.1365-3040.2008.01778.x",NP,Terrestrial,C3
1892,MR151,35.1391,0.103057939,NA,Plantae,Spermatophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,net photosynthesis,terrestrial,"Kubien, D. S., & Sage, R. F. (2008). The temperature response of photosynthesis in tobacco with reduced amounts of Rubisco. Plant, Cell and Environment, 31(4), 407â€?18. http://doi.org/10.1111/j.1365-3040.2008.01778.x",NP,Terrestrial,C3
1893,MR152,36.8654,0.3915923,NA,Plantae,Spermatophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Nicotiana tabacum,net photosynthesis,terrestrial,"Kubien, D. S., & Sage, R. F. (2008). The temperature response of photosynthesis in tobacco with reduced amounts of Rubisco. Plant, Cell and Environment, 31(4), 407â€?18. http://doi.org/10.1111/j.1365-3040.2008.01778.x",NP,Terrestrial,C3
1900,MR262,39.9549,0.902603843,NA,Plantae,Spermatophyta,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus annuus,respiration rate,terrestrial,"Katja, H., Irina, B., Hiie, I., Olav, K., Tiit, P., Bahtijor, R., et al. (2012). Temperature responses of dark respiration in relation to leaf sugar concentration. Physiol. Plant., 144, 320_334.",R,Terrestrial,C3
1901,MR263,46.8005,0.450330348,NA,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,Triticum aestivum,respiration rate,terrestrial,"Katja, H., Irina, B., Hiie, I., Olav, K., Tiit, P., Bahtijor, R., et al. (2012). Temperature responses of dark respiration in relation to leaf sugar concentration. Physiol. Plant., 144, 320_334.",R,Terrestrial,C3
1902,MR264,37.2924,0.192691459,NA,Plantae,Spermatophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,net photosynthesis,terrestrial,"Hôve, K., Bichele, I., Rasulov, B. & Niinemets, ? (2011). When it is too hot for photosynthesis: Heat-induced instability of photosynthesis in relation to respiratory burst, cell permeability changes and H2O2 formation. Plant, Cell Environ., 34, 113_126.",NP,Terrestrial,C3
1903,MR269,47.879,0.333365944,NA,Plantae,Spermatophyta,Magnoliopsida,Fabales,Fabaceae,Phaseolus,Phaseolus vulgaris,respiration rate,terrestrial,"Hôve, K., Bichele, I., Rasulov, B. & Niinemets, ? (2011). When it is too hot for photosynthesis: Heat-induced instability of photosynthesis in relation to respiratory burst, cell permeability changes and H2O2 formation. Plant, Cell Environ., 34, 113_126.",R,Terrestrial,C3
