,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID
615,0.000648747,30,#NAME?,Inf,-0.182082836,NA,0.776251017,Inf,Inf,25,NA,645
616,0.003373295,30,-10.962,Inf,0.219353325,NA,1.34455172,Inf,Inf,12.978,NA,646
617,0.002299159,30,-5.216,Inf,0.287112347,NA,1.47358748,Inf,Inf,9.098,NA,647
618,0.001950694,30,3.596,Inf,0.459453429,NA,1.852733654,Inf,Inf,5.073,NA,648
619,2.81E-05,30,0.787,Inf,0.371237338,NA,1.635438662,Inf,Inf,8.366,NA,661
620,3.18E-05,30,-5.4,Inf,0.283787161,NA,1.459873333,Inf,Inf,9.727,NA,662
621,3.03E-05,44.9975,13.558,Inf,-0.01269392,NA,0.980200519,Inf,Inf,27.835,NA,663
622,3.61E-05,39.5,14.587,Inf,0.003445751,NA,1.000218056,Inf,Inf,16.881,NA,664
623,3.95E-05,41.9995,11.686,Inf,0.02589911,NA,1.032557362,Inf,Inf,26.897,NA,665
624,3.49E-05,38,13.4,Inf,-0.016812598,NA,0.976005075,Inf,Inf,20.759,NA,666
625,2.57E-05,43.535,8.772,Inf,-0.035108865,NA,0.951898592,Inf,Inf,32.939,NA,667
626,3.19E-05,40,10.04,Inf,-0.011909073,NA,0.981404746,Inf,Inf,19.605,NA,668
627,3.75E-06,40,9.606,Inf,0.276983117,NA,1.419820706,Inf,Inf,17.918,NA,669
628,6.67E-06,36,10.175,Inf,0.234887113,NA,1.354762802,Inf,Inf,20.336,NA,670
629,84.24632627,41,6.507,Inf,0.045438546,NA,NA,Inf,Inf,24.838,NA,671
630,84.86498097,46.5,4.552,Inf,0.110722595,NA,NA,Inf,Inf,25.573,NA,672
631,2.29E-05,36,9.441,Inf,0.011144112,NA,1.012886828,Inf,Inf,22.779,NA,673
632,2.77E-05,36,4.961,Inf,0.074149594,NA,1.099734028,Inf,Inf,20.562,NA,674
633,3.10E-05,36,1.796,Inf,0.160837678,NA,1.229738332,Inf,Inf,17.705,NA,675
634,3.05E-05,36,4.312,Inf,0.226625563,NA,1.340499092,Inf,Inf,16.914,NA,676
635,3.46E-05,36,6.087,Inf,0.05481582,NA,1.072079347,Inf,Inf,21.128,NA,677
636,4.02E-05,36,6.733,Inf,0.088640665,NA,1.119668226,Inf,Inf,21.451,NA,678
637,4.61E-05,36,3.884,Inf,0.224490367,NA,1.335106321,Inf,Inf,15.232,NA,679
638,4.57E-05,36,4.235,Inf,0.311455751,NA,1.496286309,Inf,Inf,13.461,NA,680
639,1.19E-05,35.5,0.939,Inf,0.15074217,NA,1.215541077,Inf,Inf,19.601,NA,681
